,binance-count-01,binance-btc-01,binance-midprice-01,binance-count-12,binance-btc-12,binance-midprice-12,binance-count-23,binance-btc-23,binance-midprice-23
13306412,4267,11.090367852363007,0.07607170302385981,3195.0,7.909799692252353,0.07601501134796829,1776.0,3.801411135876418,0.07608302179771177
1210698094,199,0.5163533657024285,0.07607678561710399,4267.0,11.090367852363007,0.07607170302385981,3195.0,7.909799692252353,0.07601501134796829
2511850546,1877,5.340065701946827,0.07626604917733638,199.0,0.5163533657024285,0.07607678561710399,4267.0,11.090367852363007,0.07607170302385981
4244923339,8567,24.38151387070999,0.07615634005089271,1877.0,5.340065701946827,0.07626604917733638,199.0,0.5163533657024285,0.07607678561710399
3024762966,14550,34.57099603459618,0.07625175905192326,8567.0,24.38151387070999,0.07615634005089271,1877.0,5.340065701946827,0.07626604917733638
1273356219,4189,13.403039244645816,0.076565111502894,14550.0,34.57099603459618,0.07625175905192326,8567.0,24.38151387070999,0.07615634005089271
2632316909,7080,17.658587319514023,0.07634156151454215,4189.0,13.403039244645816,0.076565111502894,14550.0,34.57099603459618,0.07625175905192326
1539450829,5163,12.288201328705158,0.07601461871460811,7080.0,17.658587319514023,0.07634156151454215,4189.0,13.403039244645816,0.076565111502894
597307861,8027,16.668215042545906,0.07626925361775308,5163.0,12.288201328705158,0.07601461871460811,7080.0,17.658587319514023,0.07634156151454215
538895803,9609,28.831720696510917,0.07646288491658824,8027.0,16.668215042545906,0.07626925361775308,5163.0,12.288201328705158,0.07601461871460811
215138155,3914,11.86010477277306,0.07576243726785827,9609.0,28.831720696510917,0.07646288491658824,8027.0,16.668215042545906,0.07626925361775308
2286789410,7903,31.457347759465762,0.07560099885970377,3914.0,11.86010477277306,0.07576243726785827,9609.0,28.831720696510917,0.07646288491658824
873975250,624,1.2479067469248084,0.07549158211141387,7903.0,31.457347759465762,0.07560099885970377,3914.0,11.86010477277306,0.07576243726785827
1169556126,1344,4.965712602148634,0.07549547374085452,624.0,1.2479067469248084,0.07549158211141387,7903.0,31.457347759465762,0.07560099885970377
3499286603,8644,30.219869207323324,0.07526547584030459,1344.0,4.965712602148634,0.07549547374085452,624.0,1.2479067469248084,0.07549158211141387
3456347454,47,0.1309697020830999,0.07532088636363636,8644.0,30.219869207323324,0.07526547584030459,1344.0,4.965712602148634,0.07549547374085452
957807955,4332,11.520991154134787,0.0752040484804398,47.0,0.1309697020830999,0.07532088636363636,8644.0,30.219869207323324,0.07526547584030459
657280383,11207,29.853175242192165,0.07505993222150448,4332.0,11.520991154134787,0.0752040484804398,47.0,0.1309697020830999,0.07532088636363636
2194273909,214,1.1902717948701897,0.0749029441052024,11207.0,29.853175242192165,0.07505993222150448,4332.0,11.520991154134787,0.0752040484804398
4070769402,12505,32.74087542341784,0.07464032425286007,214.0,1.1902717948701897,0.0749029441052024,11207.0,29.853175242192165,0.07505993222150448
1758019331,50389,160.97236267553365,0.07416445524003205,12505.0,32.74087542341784,0.07464032425286007,214.0,1.1902717948701897,0.0749029441052024
2153744757,1754,7.784054221770042,0.07420986798468732,50389.0,160.97236267553365,0.07416445524003205,12505.0,32.74087542341784,0.07464032425286007
783054880,8946,31.075202949622287,0.07407223833914654,1754.0,7.784054221770042,0.07420986798468732,50389.0,160.97236267553365,0.07416445524003205
1718534951,21754,71.93705881826017,0.0740662043928155,8946.0,31.075202949622287,0.07407223833914654,1754.0,7.784054221770042,0.07420986798468732
1085682145,16239,40.88310476111231,0.07431048787503489,21754.0,71.93705881826017,0.0740662043928155,8946.0,31.075202949622287,0.07407223833914654
2150157337,497,1.4172626269841875,0.07483486533029879,16239.0,40.88310476111231,0.07431048787503489,21754.0,71.93705881826017,0.0740662043928155
1534921646,48457,138.64202071542442,0.07515278536238106,497.0,1.4172626269841875,0.07483486533029879,16239.0,40.88310476111231,0.07431048787503489
